,Platform,Brand,Category,Product Name ,Price,Reviewer,Review,Review_clean,Product Purchase,Ratings,Date Of Review,Response
1407,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,jayy_teaaa,fast delivery within 5 days and comes with 2 50ml travel size bottle. great deal during flash sales!,fast delivery within 5 days and comes with 2 ml travel size bottle great deal during flash sales,,5.0,2019-10-31 21:57:00,no
1408,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,limyhhh,quick delivery. good value for money. ,quick delivery good value for money,,5.0,2019-10-31 20:28:00,no
1409,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,shopusafreely,received the items in good condition and very fast delivery. sure will buy again. thank you ,received the items in good condition and very fast delivery sure will buy again thank you,,5.0,2019-11-01 21:25:00,no
1410,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,yuliviahusin,great deal n quick shipping. thank you!,great deal n quick shipping thank you,,5.0,2019-10-31 22:52:00,no
1411,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,ammodump,"first time using this cleanser.
i hope it works on my face",first time using this cleanser i hope it works on my face,,5.0,2019-11-01 10:26:00,no
1412,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,shavonxtan,awesome !!!! great price to purchase during sales promotion!,awesome great price to purchase during sales promotion,,4.0,2019-10-19 20:05:00,no
1413,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,llinh1995,"i received product, very fast delivery, take 3-4days to reach only! thanks 😊 ",i received product very fast delivery take 3 days to reach only thanks,,5.0,2019-10-18 14:59:00,no
1414,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,bierosella,second time purchased! received item in good condition ,second time purchased received item in good condition,,5.0,2019-10-13 17:22:00,yes
1415,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,kaore_86,super fast delivery! items all intact and very satisfied with the products!!!!,super fast delivery items all intact and very satisfied with the products,,5.0,2019-10-11 22:44:00,yes
1416,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,jesyori,good. fast delivery. i like this brand as it didnt break me out. bought during sale. worth it.,good fast delivery i like this brand as it dint break me out bought during sale worth it,,5.0,2019-10-14 00:10:00,yes
1417,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,shopp.vibes,great price and the mini size is really good for travelling! would buy again if it’s on offer....,great price and the mini size is really good for travelling would buy again if it s on offer,,5.0,2019-10-07 12:52:00,yes
1418,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,disgusthoe,super fast delivery! ordered on the 9th night received on the 11th! but i think it stayed in the delivery van for sometime so it was warm tho!! but should be okay!,super fast delivery ordered on the th night received on the with but i think it stayed in the delivery van for sometime so it was warm tho but should be okay,,5.0,2019-10-11 20:38:00,yes
1419,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,saraphine91,"ordered on 18 aug, received on 21 aug. received in good condition! happy with purchase.. been using this micellar cleansing water and it's suitable with my sensitive skin. removes makeup well (not eye make up tho). expiry date also still long! 😊👍",ordered on 18 aug received on 21 aug received in good condition happy with purchase been using this micellar cleansing water and it is suitable with my sensitive skin removes makeup well not eye make up tho expiry date also still long,,5.0,2019-08-26 22:14:00,no
1420,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,may1188886,fast delivery item received in good condition.. haven’t use if good will order again ,fast delivery item received in good condition haven t use if good will order again,,5.0,2019-10-07 13:30:00,yes
1421,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,jennysimsiewchin,fast deliver and good product,fast deliver and good product,,5.0,2019-10-18 01:09:00,no
1422,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,stylexx01,my favourite makeup remover! gentle and no oily residue. fast delivery :),my favourite makeup remover gentle and no oily residue fast delivery,,5.0,2019-10-12 11:26:00,yes
1423,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,whizbunny,great deal at 40% off + 3 travel size + free delivery. this product is perfect for lazy or busy girls who want to spend no more than one minute on a nighttime routine. literally just one or two wipes and you’re set to go to bed. ,great deal at 40 off 3 travel size free delivery this product is perfect for lazy or busy girls who want to spend no more than one minute on a nighttime routine literally just one or two wipes and you re set to go to bed,,5.0,2019-09-22 10:42:00,no
1424,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,palmtreesbruh,"unhappy because i only received the big bottle. i had to make multiple calls to the shopee helplines or sumn which was pretty useless bc it kept getting cut off & sometimes i couldnt get through. after lots of phone calls and a long time of waiting, i finally received the 3 bottles. disappointing",unhappy because i only received the big bottle i had to make multiple calls to the hope helplines or sun which was pretty useless bc it kept getting cut off sometimes i couldnt get through after lots of phone calls and a long time of waiting i finally received the 3 bottles disappointing,,3.0,2019-10-02 22:46:00,no
